id,host_response_rate,host_is_superhost,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,state,country_code,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,reviews_per_month,is_success
8225,0.88,1,1,Harlem,Manhattan,NY,US,Private room,3,1.0,1.0,2.0,Real Bed,19,0.49,0.0,0.65,2,0.39,2,21,251,150,92.0,9.0,9.0,10.0,10.0,9.0,9.0,0,0,0.02,0,0,1.33,1
20611,1.0,1,1,Williamsburg,Brooklyn,NY,US,Private room,2,1.0,1.0,1.0,Real Bed,26,0.85,0.0,0.35,2,0.0,3,200,325,158,94.0,9.0,9.0,9.0,10.0,9.0,9.0,1,0,0.02,1,1,1.5,1
8505,1.0,1,0,Windsor Terrace,Brooklyn,NY,US,Private room,2,1.0,1.0,1.0,Real Bed,16,0.6,0.0,0.3,1,0.2,1,20,80,13,100.0,10.0,10.0,10.0,10.0,10.0,9.0,0,0,0.01,0,0,2.29,1
9518,1.0,0,1,Inwood,Manhattan,NY,US,Private room,2,1.0,1.0,1.0,Real Bed,10,0.44,0.0,0.2,2,0.3,3,30,345,101,83.0,8.0,8.0,9.0,9.0,8.0,8.0,0,0,0.02,0,0,1.14,1
20853,1.0,0,1,Prospect Heights,Brooklyn,NY,US,Entire home/apt,4,2.5,2.0,2.0,Real Bed,33,2.5,5.0,2.5,4,0.5,14,90,33,17,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0.02,0,0,0.28,1
9704,0.58,0,1,Harlem,Manhattan,NY,US,Private room,2,1.5,1.0,1.0,Real Bed,12,0.52,1.5,0.5,1,0.15,2,730,323,77,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0.02,0,0,1.44,1
21644,1.0,0,1,Harlem,Manhattan,NY,US,Private room,1,1.0,1.0,1.0,Real Bed,12,0.89,1.0,0.3,1,0.55,1,60,365,1,100.0,10.0,10.0,10.0,10.0,10.0,8.0,0,0,0.02,0,0,1.0,1
21794,1.0,1,0,Chelsea,Manhattan,NY,US,Private room,2,1.0,1.0,1.0,Real Bed,30,1.11,2.5,0.5,1,0.5,30,1124,327,26,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0.02,0,0,0.25,1
10962,1.0,1,1,South Slope,Brooklyn,NY,US,Private room,2,1.0,1.0,2.0,Real Bed,40,0.89,2.0,0.64,1,0.18,4,20,337,158,94.0,9.0,9.0,10.0,9.0,10.0,10.0,0,0,0.02,1,0,1.43,1
12048,0.93,1,1,Lower East Side,Manhattan,NY,US,Shared room,1,1.0,1.0,1.0,Pull-out Sofa,10,0.35,0.0,0.0,1,0.35,1,28,278,204,96.0,9.0,9.0,10.0,10.0,9.0,10.0,0,0,0.02,0,0,1.86,1
23135,0.92,0,1,Carroll Gardens,Brooklyn,NY,US,Entire home/apt,3,1.0,2.0,2.0,Real Bed,24,1.75,0.0,0.65,1,0.15,3,730,344,217,93.0,10.0,10.0,10.0,9.0,9.0,9.0,0,0,0.02,0,0,2.11,1
12192,0.97,1,1,East Village,Manhattan,NY,US,Private room,2,1.0,1.0,1.0,Real Bed,29,0.68,1.0,0.3,1,0.15,2,75,57,232,87.0,9.0,8.0,10.0,10.0,9.0,9.0,0,0,0.02,1,0,2.11,1
23545,1.0,0,1,Harlem,Manhattan,NY,US,Entire home/apt,7,2.0,2.0,5.0,Real Bed,46,2.4,2.5,0.0,5,0.5,4,365,247,210,95.0,10.0,10.0,10.0,9.0,9.0,9.0,0,0,0.02,0,1,2.01,1
23686,1.0,0,0,West Village,Manhattan,NY,US,Entire home/apt,5,2.0,3.0,3.0,Real Bed,41,5.0,7.0,2.0,4,1.0,4,60,249,39,89.0,9.0,9.0,9.0,9.0,10.0,9.0,0,0,0.02,0,0,0.51,1
12940,1.0,0,1,Bedford-Stuyvesant,Brooklyn,NY,US,Entire home/apt,2,1.0,1.0,1.0,Real Bed,16,1.1,5.0,0.9,2,0.0,7,365,31,53,86.0,9.0,9.0,9.0,9.0,7.0,8.0,0,0,0.02,0,1,0.49,1
24143,1.0,1,1,Williamsburg,Brooklyn,NY,US,Private room,2,2.0,1.0,1.0,Real Bed,44,1.01,3.0,0.9,1,0.19,3,12,308,314,95.0,9.0,9.0,10.0,10.0,9.0,9.0,1,0,0.02,0,0,3.06,1
24285,1.0,0,0,Park Slope,Brooklyn,NY,US,Entire home/apt,9,3.0,4.0,6.0,Real Bed,34,2.5,5.0,1.5,9,0.5,30,60,0,86,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0.02,0,0,0.84,1
13076,0.8,0,0,Prospect Heights,Brooklyn,NY,US,Private room,1,1.0,0.0,0.0,Pull-out Sofa,22,0.7,2.0,1.0,1,0.0,1,30,363,12,90.0,10.0,10.0,10.0,9.0,9.0,9.0,0,0,0.0,1,1,0.14,1
13121,1.0,0,1,Jamaica,Queens,NY,US,Private room,4,1.0,1.0,2.0,Real Bed,20,0.68,1.5,0.25,1,0.12,2,365,353,65,83.0,9.0,9.0,9.0,9.0,7.0,8.0,0,0,0.02,0,0,0.65,1
13394,1.0,0,1,Fort Greene,Brooklyn,NY,US,Private room,2,1.0,1.0,1.0,Real Bed,9,0.8,3.0,0.5,1,0.2,3,1125,338,125,94.0,10.0,9.0,10.0,10.0,10.0,9.0,0,0,0.02,0,0,1.16,1
25696,1.0,1,0,Harlem,Manhattan,NY,US,Private room,2,1.0,1.0,1.0,Real Bed,36,1.0,1.0,0.4,1,0.0,2,14,303,163,95.0,10.0,9.0,10.0,10.0,9.0,9.0,1,0,0.02,0,0,1.67,1
13414,1.0,0,1,Williamsburg,Brooklyn,NY,US,Entire home/apt,2,1.0,1.0,2.0,Real Bed,22,10.0,3.0,0.0,1,0.15,100,100,0,47,94.0,9.0,8.0,10.0,10.0,10.0,10.0,0,0,0.02,0,1,0.52,1
26540,1.0,0,1,East Village,Manhattan,NY,US,Entire home/apt,2,1.0,1.0,1.0,Real Bed,30,2.0,3.0,1.25,2,1.0,5,14,77,16,98.0,9.0,10.0,10.0,9.0,10.0,9.0,0,0,0.02,0,0,0.15,1
14290,1.0,0,1,Williamsburg,Brooklyn,NY,US,Entire home/apt,2,1.0,2.0,2.0,Real Bed,28,2.25,3.5,1.28,2,0.1,3,60,161,72,93.0,10.0,9.0,9.0,9.0,9.0,9.0,1,0,0.01,0,0,0.66,1
14314,1.0,0,1,Greenpoint,Brooklyn,NY,US,Entire home/apt,4,1.0,1.0,2.0,Real Bed,24,1.44,2.5,0.0,2,0.05,2,1125,246,132,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0.02,0,0,1.22,1
14322,1.0,0,1,Kips Bay,Manhattan,NY,US,Entire home/apt,2,1.0,1.0,1.0,Real Bed,21,2.0,10.0,1.5,2,0.4,7,30,196,17,95.0,9.0,9.0,9.0,10.0,10.0,9.0,1,0,0.02,0,0,0.21,1
26954,0.0,0,1,Kips Bay,Manhattan,NY,US,Entire home/apt,2,1.0,1.0,1.0,Real Bed,17,1.99,10.0,0.95,1,0.0,5,45,311,38,98.0,10.0,9.0,10.0,10.0,10.0,9.0,0,0,0.02,1,1,0.42,1
14468,1.0,0,0,Kips Bay,Manhattan,NY,US,Private room,3,1.0,1.0,1.0,Real Bed,26,0.85,2.0,2.0,1,0.75,3,1125,317,12,88.0,9.0,7.0,10.0,10.0,10.0,9.0,1,0,0.02,0,0,0.81,1
26969,0.8,1,1,Williamsburg,Brooklyn,NY,US,Entire home/apt,6,1.5,3.0,4.0,Real Bed,14,2.95,0.0,1.25,6,0.5,3,33,94,300,96.0,10.0,9.0,10.0,10.0,10.0,10.0,1,0,0.0,0,0,3.02,1
27006,0.8,0,1,Upper West Side,Manhattan,NY,US,Entire home/apt,4,1.5,2.0,3.0,Real Bed,41,2.35,5.0,1.2,3,0.4,6,30,155,25,91.0,9.0,9.0,10.0,10.0,10.0,9.0,0,0,0.02,0,0,0.27,1
14694,1.0,0,0,Flatbush,Brooklyn,NY,US,Private room,2,2.0,1.0,1.0,Real Bed,34,1.45,4.0,0.7,2,0.0,4,178,364,6,100.0,10.0,9.0,9.0,10.0,9.0,9.0,0,0,0.02,1,1,0.07,1
14708,1.0,0,0,Flatbush,Brooklyn,NY,US,Private room,2,2.0,1.0,1.0,Real Bed,50,1.35,4.0,0.7,2,0.0,4,28,365,10,98.0,10.0,10.0,10.0,10.0,10.0,9.0,0,0,0.02,1,1,0.12,1
14991,0.9,0,1,Lower East Side,Manhattan,NY,US,Private room,1,1.0,1.0,1.0,Real Bed,9,1.0,0.0,0.0,1,0.2,5,15,358,18,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0.02,0,0,0.17,1
27531,1.0,1,1,South Slope,Brooklyn,NY,US,Private room,4,2.0,1.0,2.0,Real Bed,42,0.99,1.0,0.5,1,0.25,2,21,58,338,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0.02,1,1,3.3,1
15341,1.0,0,1,SoHo,Manhattan,NY,US,Entire home/apt,2,1.0,1.0,2.0,Real Bed,28,1.8,5.0,1.85,2,0.0,30,730,165,18,92.0,9.0,9.0,10.0,9.0,9.0,9.0,0,0,0.02,1,1,0.29,1
27659,0.92,0,1,South Slope,Brooklyn,NY,US,Entire home/apt,9,2.5,4.0,6.0,Real Bed,16,4.0,5.0,1.2,1,0.0,2,30,322,15,94.0,10.0,9.0,10.0,10.0,10.0,10.0,0,0,0.02,0,0,0.25,1
15385,1.0,0,1,Williamsburg,Brooklyn,NY,US,Private room,1,1.0,1.0,1.0,Real Bed,14,0.75,0.0,1.0,1,0.0,2,30,333,33,95.0,9.0,9.0,9.0,9.0,10.0,9.0,0,0,0.02,0,0,0.32,1
28907,1.0,0,0,Upper East Side,Manhattan,NY,US,Entire home/apt,4,1.0,1.0,2.0,Real Bed,17,1.5,5.0,0.75,1,0.0,5,30,95,21,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0.01,0,0,0.2,1
29012,1.0,1,0,Washington Heights,Manhattan,NY,US,Private room,2,1.0,1.0,1.0,Real Bed,39,0.85,2.0,0.7,1,0.5,4,150,308,36,94.0,10.0,10.0,9.0,10.0,8.0,10.0,0,0,0.0,0,0,0.36,1
29414,1.0,1,0,East Village,Manhattan,NY,US,Entire home/apt,1,1.0,0.0,1.0,Real Bed,20,1.85,3.0,0.85,2,0.0,6,365,89,108,93.0,10.0,10.0,10.0,10.0,10.0,9.0,0,0,0.02,0,1,1.07,1
31130,1.0,0,1,Hell's Kitchen,Manhattan,NY,US,Private room,2,1.0,1.0,1.0,Real Bed,16,1.3,0.0,1.0,1,0.25,7,365,328,36,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0.02,0,0,0.35,1
31555,0.5,0,1,West Village,Manhattan,NY,US,Entire home/apt,2,1.0,0.0,1.0,Real Bed,21,1.25,30.0,2.5,1,0.0,16,60,25,24,92.0,10.0,9.0,10.0,10.0,10.0,9.0,0,0,0.02,0,0,0.25,1
54213,0.5,0,0,West Village,Manhattan,NY,US,Entire home/apt,2,1.0,1.0,1.0,Real Bed,18,2.5,2.5,1.0,2,0.0,7,30,364,4,85.0,10.0,9.0,10.0,10.0,10.0,9.0,0,0,0.02,1,1,0.05,1
54453,1.0,0,1,Hell's Kitchen,Manhattan,NY,US,Shared room,1,1.0,1.0,1.0,Futon,14,1.05,2.5,0.6,1,0.0,6,21,364,10,90.0,8.0,9.0,9.0,9.0,10.0,9.0,0,0,0.02,1,1,0.1,1
31994,1.0,0,1,Clinton Hill,Brooklyn,NY,US,Private room,2,1.0,1.0,1.0,Real Bed,22,0.76,0.0,0.25,1,0.38,2,365,302,400,89.0,9.0,9.0,9.0,9.0,9.0,9.0,1,0,0.01,0,0,3.95,1
54508,1.0,0,1,Prospect Heights,Brooklyn,NY,US,Private room,2,1.0,1.0,1.0,Real Bed,34,1.0,0.0,0.2,1,0.2,2,1125,292,74,92.0,10.0,9.0,10.0,10.0,10.0,10.0,0,0,0.01,0,0,0.75,1
32037,1.0,0,1,Clinton Hill,Brooklyn,NY,US,Private room,3,1.5,1.0,2.0,Real Bed,28,1.35,2.5,0.85,2,0.35,4,730,364,76,96.0,10.0,10.0,10.0,10.0,10.0,9.0,0,0,0.02,0,0,0.76,1
54544,1.0,0,1,Harlem,Manhattan,NY,US,Entire home/apt,4,1.0,1.0,3.0,Real Bed,24,1.4,2.0,0.85,2,0.35,1,30,321,94,93.0,9.0,9.0,9.0,9.0,9.0,9.0,0,0,0.01,1,1,0.98,1
32100,1.0,1,1,Greenpoint,Brooklyn,NY,US,Entire home/apt,5,1.0,3.0,3.0,Real Bed,24,2.75,0.0,1.2,1,0.0,29,60,63,3,100.0,10.0,10.0,10.0,10.0,9.0,10.0,0,0,0.01,0,0,0.03,1
32289,1.0,0,1,Williamsburg,Brooklyn,NY,US,Entire home/apt,3,1.5,1.0,2.0,Real Bed,32,1.99,10.0,1.5,2,0.75,3,21,168,10,100.0,10.0,9.0,10.0,10.0,10.0,9.0,0,0,0.02,0,0,0.1,1
54626,0.85,0,1,Highbridge,Bronx,NY,US,Private room,2,1.5,1.0,1.0,Real Bed,19,0.5,0.0,0.0,1,0.4,1,21,357,98,96.0,10.0,10.0,10.0,10.0,9.0,10.0,0,0,0.01,1,0,1.12,1
54694,1.0,0,1,Jamaica,Queens,NY,US,Private room,2,1.0,1.0,1.0,Real Bed,16,0.55,1.5,0.15,1,0.1,2,365,364,62,87.0,9.0,10.0,9.0,9.0,8.0,9.0,0,0,0.02,0,0,0.63,1
55565,1.0,0,0,Bedford-Stuyvesant,Brooklyn,NY,US,Entire home/apt,3,1.0,1.0,2.0,Real Bed,17,1.2,0.0,0.0,2,0.1,3,60,92,99,91.0,9.0,9.0,10.0,10.0,9.0,9.0,1,0,0.01,0,0,1.01,1
55737,0.6,0,0,West Village,Manhattan,NY,US,Entire home/apt,2,1.0,1.0,1.0,Real Bed,17,1.99,1.5,0.8,1,0.0,5,730,340,113,95.0,10.0,10.0,10.0,10.0,10.0,9.0,0,0,0.02,0,0,1.16,1
33156,1.0,0,1,Upper West Side,Manhattan,NY,US,Private room,2,1.0,1.0,1.0,Real Bed,22,1.69,1.0,1.2,1,0.25,5,60,199,19,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0.02,1,1,0.21,1
33223,1.0,1,1,Williamsburg,Brooklyn,NY,US,Private room,2,1.0,1.0,1.0,Real Bed,27,0.8,0.0,0.3,1,0.0,3,200,331,183,94.0,9.0,9.0,9.0,10.0,10.0,9.0,1,0,0.02,1,1,1.84,1
33810,1.0,0,0,Harlem,Manhattan,NY,US,Entire home/apt,4,1.0,2.0,1.0,Real Bed,18,0.99,2.5,0.75,4,0.35,5,30,35,3,100.0,10.0,9.0,10.0,10.0,10.0,9.0,0,0,0.02,0,0,3.0,1
34760,0.92,1,1,Fort Greene,Brooklyn,NY,US,Private room,2,2.0,1.0,1.0,Real Bed,14,0.44,1.5,0.6,1,0.18,10,31,219,17,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0.02,1,0,0.98,1
56859,1.0,0,1,Harlem,Manhattan,NY,US,Private room,2,1.0,1.0,1.0,Real Bed,17,0.75,2.0,0.4,2,0.3,1,30,331,171,92.0,9.0,9.0,9.0,9.0,9.0,9.0,0,0,0.02,1,1,1.78,1
57297,0.7,0,1,Cobble Hill,Brooklyn,NY,US,Entire home/apt,3,1.0,1.0,1.0,Real Bed,37,1.39,3.0,0.6,2,0.1,1,240,336,202,93.0,10.0,10.0,10.0,10.0,10.0,9.0,0,0,0.02,1,1,2.1,1
36133,1.0,0,1,Williamsburg,Brooklyn,NY,US,Private room,2,1.0,1.0,1.0,Real Bed,16,1.25,3.0,0.7,1,0.25,3,30,331,149,93.0,10.0,9.0,9.0,9.0,10.0,9.0,0,0,0.02,1,1,1.69,1
57754,1.0,1,1,Flatiron District,Manhattan,NY,US,Entire home/apt,2,1.0,1.0,1.0,Real Bed,24,3.05,5.0,0.75,2,0.3,2,7,303,97,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0.02,0,1,1.07,1
57874,1.0,1,0,Harlem,Manhattan,NY,US,Entire home/apt,2,1.0,1.0,1.0,Real Bed,19,1.55,2.4,0.7,2,0.7,3,365,241,196,97.0,10.0,10.0,10.0,10.0,9.0,10.0,1,0,0.02,0,0,2.01,1
58059,1.0,0,1,Harlem,Manhattan,NY,US,Private room,3,1.5,1.0,2.0,Real Bed,58,0.6,1.0,0.25,2,0.2,1,26,162,412,94.0,9.0,9.0,9.0,10.0,9.0,9.0,1,0,0.02,1,1,4.49,1
37197,1.0,1,1,East Village,Manhattan,NY,US,Entire home/apt,4,1.0,2.0,3.0,Real Bed,22,1.62,5.0,1.0,4,0.0,2,30,37,60,90.0,9.0,9.0,10.0,10.0,9.0,9.0,0,0,0.01,0,0,0.68,1
58101,0.93,1,1,NoHo,Manhattan,NY,US,Entire home/apt,3,1.0,2.0,2.0,Real Bed,32,1.25,3.0,0.0,2,0.25,2,365,229,238,87.0,9.0,9.0,9.0,9.0,10.0,9.0,0,0,0.03,1,1,2.6,1
38638,1.0,1,1,Upper East Side,Manhattan,NY,US,Entire home/apt,2,1.0,1.0,2.0,Real Bed,29,2.19,2.5,0.95,2,0.25,4,200,307,116,95.0,10.0,10.0,10.0,10.0,10.0,9.0,0,0,0.02,0,0,1.15,1
38663,0.83,0,1,Boerum Hill,Brooklyn,NY,US,Entire home/apt,13,2.5,5.0,6.0,Real Bed,28,4.75,7.5,2.0,4,0.75,3,60,312,21,93.0,10.0,9.0,10.0,10.0,10.0,9.0,0,0,0.02,0,0,0.27,1
38780,1.0,0,1,Washington Heights,Manhattan,NY,US,Private room,4,1.0,1.0,1.0,Real Bed,30,0.6,1.0,0.37,1,0.11,2,25,165,55,88.0,9.0,9.0,9.0,10.0,8.0,9.0,0,0,0.01,0,0,0.59,1
39704,1.0,0,1,Bedford-Stuyvesant,Brooklyn,NY,US,Entire home/apt,4,1.0,1.0,1.0,Real Bed,34,1.35,0.0,1.25,2,0.25,1,1125,20,280,94.0,10.0,10.0,10.0,10.0,9.0,9.0,0,0,0.01,1,1,2.8,1
40884,1.0,1,1,Upper East Side,Manhattan,NY,US,Private room,1,1.0,1.0,2.0,Real Bed,16,0.65,2.5,0.0,1,0.0,30,365,329,45,95.0,9.0,10.0,10.0,10.0,9.0,10.0,1,0,0.01,0,0,0.49,1
59014,1.0,0,1,Lower East Side,Manhattan,NY,US,Entire home/apt,3,1.0,1.0,2.0,Real Bed,17,1.5,5.0,1.3,2,0.2,3,90,311,40,90.0,9.0,9.0,10.0,10.0,9.0,9.0,0,0,0.02,1,1,0.42,1
41348,1.0,1,1,Gowanus,Brooklyn,NY,US,Entire home/apt,6,1.5,2.0,3.0,Real Bed,37,2.5,8.0,1.65,2,0.4,2,730,207,67,94.0,10.0,10.0,10.0,10.0,9.0,9.0,0,0,0.02,0,0,0.68,1
