host_is_superhost,host_identity_verified,bathrooms,bedrooms,beds,bed_type,amenities,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_365,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,neighbourhood,room
0,1,1.0,1.0,1.0,4,21,200,10.0,1.5,2,0.4,7,30,196,1,0,3,0,0,4,2
0,1,1.0,1.0,1.0,4,17,199,10.0,0.95,1,0.0,5,45,311,0,0,3,1,1,4,2
0,0,1.0,1.0,1.0,4,26,85,2.0,2.0,1,0.75,3,1125,317,1,0,3,0,0,4,1
1,1,1.5,3.0,4.0,4,14,295,0.0,1.25,6,0.5,3,33,94,1,0,5,0,0,3,2
0,1,1.5,2.0,3.0,4,41,235,5.0,1.2,3,0.4,6,30,155,0,0,3,0,0,4,2
0,0,2.0,1.0,1.0,4,34,145,4.0,0.7,2,0.0,4,178,364,0,0,3,1,1,3,1
0,0,2.0,1.0,1.0,4,50,135,4.0,0.7,2,0.0,4,28,365,0,0,3,1,1,3,1
0,1,1.0,1.0,1.0,4,9,100,0.0,0.0,1,0.2,5,15,358,0,0,3,0,0,4,1
1,1,2.0,1.0,2.0,4,42,99,1.0,0.5,1,0.25,2,21,58,0,0,3,1,1,3,1
0,1,1.0,1.0,2.0,4,28,180,5.0,1.85,2,0.0,30,730,165,0,0,3,1,1,4,2
0,1,2.5,4.0,6.0,4,16,400,5.0,1.2,1,0.0,2,30,322,0,0,3,0,0,3,2
0,1,1.0,1.0,1.0,4,14,75,0.0,1.0,1,0.0,2,30,333,0,0,3,0,0,3,1
0,0,1.0,1.0,2.0,4,17,150,5.0,0.75,1,0.0,5,30,95,0,0,4,0,0,4,2
1,0,1.0,1.0,1.0,4,39,85,2.0,0.7,1,0.5,4,150,308,0,0,5,0,0,4,1
1,0,1.0,0.0,1.0,4,20,185,3.0,0.85,2,0.0,6,365,89,0,0,3,0,1,4,2
0,1,1.0,1.0,1.0,4,16,130,0.0,1.0,1,0.25,7,365,328,0,0,3,0,0,4,1
0,1,1.0,0.0,1.0,4,21,125,30.0,2.5,1,0.0,16,60,25,0,0,3,0,0,4,2
0,0,1.0,1.0,1.0,4,18,250,2.5,1.0,2,0.0,7,30,364,0,0,3,1,1,4,2
0,1,1.0,1.0,1.0,3,14,105,2.5,0.6,1,0.0,6,21,364,0,0,3,1,1,4,0
0,1,1.0,1.0,1.0,4,22,76,0.0,0.25,1,0.38,2,365,302,1,0,4,0,0,3,1
0,1,1.0,1.0,1.0,4,34,100,0.0,0.2,1,0.2,2,1125,292,0,0,4,0,0,3,1
0,1,1.5,1.0,2.0,4,28,135,2.5,0.85,2,0.35,4,730,364,0,0,3,0,0,3,1
0,1,1.0,1.0,3.0,4,24,140,2.0,0.85,2,0.35,1,30,321,0,0,4,1,1,4,2
1,1,1.0,3.0,3.0,4,24,275,0.0,1.2,1,0.0,29,60,63,0,0,4,0,0,3,2
0,1,1.5,1.0,2.0,4,32,199,10.0,1.5,2,0.75,3,21,168,0,0,3,0,0,3,2
0,1,1.5,1.0,1.0,4,19,50,0.0,0.0,1,0.4,1,21,357,0,0,4,1,0,1,1
0,1,1.0,1.0,1.0,4,16,55,1.5,0.15,1,0.1,2,365,364,0,0,3,0,0,2,1
0,0,1.0,1.0,2.0,4,17,120,0.0,0.0,2,0.1,3,60,92,1,0,4,0,0,3,2
0,0,1.0,1.0,1.0,4,17,199,1.5,0.8,1,0.0,5,730,340,0,0,3,0,0,4,2
0,1,1.0,1.0,1.0,4,22,169,1.0,1.2,1,0.25,5,60,199,0,0,3,1,1,4,1
1,1,1.0,1.0,1.0,4,27,80,0.0,0.3,1,0.0,3,200,331,1,0,3,1,1,3,1
0,0,1.0,2.0,1.0,4,18,99,2.5,0.75,4,0.35,5,30,35,0,0,3,0,0,4,2
1,1,2.0,1.0,1.0,4,14,44,1.5,0.6,1,0.18,10,31,219,0,0,3,1,0,3,1
0,1,1.0,1.0,1.0,4,17,75,2.0,0.4,2,0.3,1,30,331,0,0,3,1,1,4,1
0,1,1.0,1.0,1.0,4,37,139,3.0,0.6,2,0.1,1,240,336,0,0,3,1,1,3,2
0,1,1.0,1.0,1.0,4,16,125,3.0,0.7,1,0.25,3,30,331,0,0,3,1,1,3,1
1,1,1.0,1.0,1.0,4,24,305,5.0,0.75,2,0.3,2,7,303,0,0,3,0,1,4,2
1,0,1.0,1.0,1.0,4,19,155,2.4,0.7,2,0.7,3,365,241,1,0,3,0,0,4,2
0,1,1.5,1.0,2.0,4,58,60,1.0,0.25,2,0.2,1,26,162,1,0,3,1,1,4,1
1,1,1.0,2.0,3.0,4,22,162,5.0,1.0,4,0.0,2,30,37,0,0,4,0,0,4,2
1,1,1.0,2.0,2.0,4,32,125,3.0,0.0,2,0.25,2,365,229,0,0,2,1,1,4,2
1,1,1.0,1.0,2.0,4,29,219,2.5,0.95,2,0.25,4,200,307,0,0,3,0,0,4,2
0,1,2.5,5.0,6.0,4,28,475,7.5,2.0,4,0.75,3,60,312,0,0,3,0,0,3,2
0,1,1.0,1.0,1.0,4,30,60,1.0,0.37,1,0.11,2,25,165,0,0,4,0,0,4,1
0,1,1.0,1.0,1.0,4,34,135,0.0,1.25,2,0.25,1,1125,20,0,0,4,1,1,3,2
1,1,1.0,1.0,2.0,4,16,65,2.5,0.0,1,0.0,30,365,329,1,0,4,0,0,4,1
0,1,1.0,1.0,2.0,4,17,150,5.0,1.3,2,0.2,3,90,311,0,0,3,1,1,4,2
1,1,1.5,2.0,3.0,4,37,250,8.0,1.65,2,0.4,2,730,207,0,0,3,0,0,3,2
0,1,1.0,1.0,1.0,4,14,70,0.0,0.25,1,0.3,2,730,336,1,0,4,0,0,3,1
0,1,1.0,3.0,1.0,4,9,185,2.0,1.0,6,0.15,30,730,365,0,0,3,0,0,2,2
0,1,1.0,1.0,1.0,4,35,145,0.0,0.0,2,0.25,3,5,15,0,0,3,0,0,3,2
1,1,1.0,1.0,1.0,4,12,250,1.0,1.0,1,0.2,30,365,126,1,0,3,0,0,4,2
0,1,1.0,1.0,1.0,4,16,45,0.0,0.0,1,0.0,1,2,356,0,0,4,1,0,1,1
0,1,1.0,3.0,3.0,4,18,500,7.0,1.0,6,0.5,4,365,149,1,0,3,0,0,4,2
1,1,1.0,0.0,0.0,4,42,245,10.0,1.85,1,0.0,3,60,49,1,0,3,1,0,4,2
1,1,1.0,1.0,1.0,4,19,125,2.0,1.0,1,0.0,28,28,365,0,0,3,1,1,4,2
0,1,1.0,1.0,2.0,4,16,110,1.5,0.4,2,0.35,1,30,335,1,0,4,1,1,4,1
0,0,1.0,1.0,1.0,1,13,175,2.0,0.9,2,0.0,2,365,365,0,0,3,0,0,4,1
0,1,1.0,1.0,1.0,4,15,150,4.0,0.6,1,0.0,26,200,12,0,0,3,0,0,4,2
0,0,1.0,1.0,2.0,4,17,99,3.0,1.5,2,0.3,6,1125,331,0,0,3,0,0,4,2
1,1,1.5,1.0,1.0,4,29,65,8.0,0.35,1,0.45,2,31,164,1,0,3,0,0,3,1
0,1,2.5,5.0,10.0,4,9,370,2.0,1.8,9,0.25,30,730,365,0,0,3,0,0,2,2
0,1,1.0,2.0,3.0,4,10,135,5.0,0.75,2,0.5,2,730,0,0,0,4,0,0,4,2
0,1,1.0,1.0,1.0,4,7,150,1.5,0.5,2,0.35,5,90,118,0,0,3,0,0,3,2
1,1,2.0,1.0,1.0,4,25,120,0.0,0.5,1,0.4,7,31,333,0,0,4,0,0,4,1
0,1,1.0,1.0,1.0,4,30,120,0.0,0.3,1,0.3,3,1125,296,0,0,4,0,0,3,1
0,1,1.0,1.0,1.0,4,18,65,3.0,0.3,1,0.2,30,240,340,0,0,3,0,0,3,1
0,0,1.0,1.0,1.0,4,13,129,4.0,0.49,1,0.0,6,69,4,0,0,3,0,0,4,2
0,0,1.0,1.0,2.0,4,24,99,2.5,0.75,2,0.25,4,90,61,1,0,3,0,0,3,2
0,0,1.0,1.0,1.0,4,39,30,0.0,0.15,1,0.05,2,365,312,0,0,3,0,1,0,1
0,0,1.0,1.0,1.0,4,35,32,0.0,0.15,1,0.05,2,365,299,0,0,3,0,1,0,1
0,0,1.0,1.0,1.0,2,16,130,2.0,0.5,1,0.0,6,20,331,0,0,3,1,1,4,1
